                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71819,                 7.9222,                0.97061,                0.00333,                      1,                0.00334,                0.00067,                 1.5456,                 9.8229,                 1.6949,                      0,                      0,                      0
                      2,                0.77231,                 6.6066,                 1.1481,                0.00333,                      1,                0.00334,                0.00067,                 1.5413,                 9.6754,                 1.6877,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.1874,                 6.8078,                 1.4089,                0.00333,                      1,                0.00334,                0.00067,                 1.5123,                 9.9743,                 1.6781,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                  1.045,                  10.85,                 1.1624,                0.00333,                      1,                0.00334,                0.00067,                  1.504,                 9.9197,                 1.6726,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.1791,                 9.6059,                 1.4269,                0.00333,                      1,                0.00333,                  0.001,                 1.6137,                 10.048,                 1.6689,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.2887,                 6.3331,                 1.3391,                0.00333,                      1,                0.00599,                 0.0006,                 1.7267,                 10.295,                 1.7213,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.76995,                 6.9175,                 1.2233,                0.00333,                      1,                0.01015,                0.00305,                 1.5499,                  11.06,                 1.6953,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.2211,                  10.14,                 1.2958,                0.00333,                      1,                0.04975,                0.02488,                 1.7167,                 7.7897,                 1.5293,              0.0001303,              0.0001303,              0.0001303
                      9,                0.79704,                 4.6711,                0.97833,                0.00333,                      1,                0.12437,                0.06219,                 1.5706,                  7.725,                 1.5091,             0.00014733,             0.00014733,             0.00014733
                     10,                  1.038,                 6.0689,                 1.0723,                0.00333,                      1,                0.33167,                0.16583,                  1.587,                 7.3836,                 1.5277,             0.00016396,             0.00016396,             0.00016396
                     11,                0.99356,                 4.7361,                 1.0409,                0.00333,                      1,                  0.995,                 0.4975,                 1.5811,                 7.0825,                 1.4356,              0.0001802,              0.0001802,              0.0001802
                     12,                0.90756,                 5.0968,                 1.0672,                0.00333,                      1,                  0.995,                 0.4975,                  1.684,                 7.8694,                 1.3246,             0.00019604,             0.00019604,             0.00019604
                     13,                 0.9294,                  7.144,                 1.0344,                0.00333,                      1,                  0.995,                 0.4975,                 1.7145,                 7.5023,                 1.2275,             0.00021149,             0.00021149,             0.00021149
                     14,                0.84505,                 4.3921,                0.93209,                0.00333,                      1,                  0.995,                 0.4975,                 1.6883,                 7.3869,                 1.3126,             0.00022654,             0.00022654,             0.00022654
                     15,                0.86177,                 3.3615,                0.96486,                0.00333,                      1,                  0.995,                  0.597,                 1.8076,                 8.2024,                 1.3378,             0.00024119,             0.00024119,             0.00024119
                     16,                0.94233,                 3.4753,                0.86567,                0.00333,                      1,                  0.995,                 0.4975,                 1.9246,                 7.6455,                 1.3934,             0.00025545,             0.00025545,             0.00025545
                     17,                0.60701,                 7.6069,                0.88921,                0.00333,                      1,                  0.995,                  0.398,                 2.0544,                 7.8486,                 1.4699,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.3878,                 3.3415,                 1.3508,                0.00333,                      1,                  0.995,                  0.398,                 2.0544,                 7.8486,                 1.4699,             0.00028278,             0.00028278,             0.00028278
                     19,                0.72801,                 3.5148,                0.88194,                0.00333,                      1,                  0.995,                  0.398,                 2.0848,                 7.8973,                 1.4614,             0.00029585,             0.00029585,             0.00029585
                     20,                 0.8179,                 7.7512,                 1.0041,                0.00333,                      1,                  0.995,                  0.398,                 2.0848,                 7.8973,                 1.4614,             0.00030852,             0.00030852,             0.00030852
                     21,                 1.4145,                 8.1591,                 1.2952,                0.00333,                      1,                  0.995,                 0.4975,                 1.7938,                 7.8016,                 1.4661,              0.0003208,              0.0003208,              0.0003208
                     22,                0.85307,                 16.764,                0.95088,                0.00333,                      1,                  0.995,                 0.4975,                 1.7938,                 7.8016,                 1.4661,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.2547,                 5.8372,                 1.2595,                0.00333,                      1,                  0.995,                 0.4975,                 1.7782,                 7.8363,                 1.4721,             0.00034417,             0.00034417,             0.00034417
                     24,                0.98864,                 6.1333,                0.92453,                0.00333,                      1,                  0.995,                 0.4975,                 1.7782,                 7.8363,                 1.4721,             0.00035526,             0.00035526,             0.00035526
                     25,                0.90826,                 8.2516,                0.81071,                0.00333,                      1,                  0.995,                  0.597,                 1.5948,                 8.4863,                 1.2739,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.1718,                 2.9945,                 1.0666,                0.00333,                      1,                  0.995,                  0.597,                 1.5948,                 8.4863,                 1.2739,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.0884,                 3.5018,                 1.0342,                0.00333,                      1,                  0.995,                 0.6965,                 1.3861,                 9.0041,                   1.24,             0.00038615,             0.00038615,             0.00038615
                     28,                0.78893,                 4.0553,                0.83414,                0.00333,                      1,                  0.995,                 0.6965,                 1.3861,                 9.0041,                   1.24,             0.00039566,             0.00039566,             0.00039566
                     29,                 0.6518,                 2.7731,                 0.9501,                0.00333,                      1,                  0.995,                  0.597,                 1.3249,                 7.7968,                  1.176,             0.00040477,             0.00040477,             0.00040477
                     30,                0.83744,                 2.3491,                0.86093,                0.00333,                      1,                  0.995,                  0.597,                 1.3249,                 7.7968,                  1.176,             0.00041348,             0.00041348,             0.00041348
                     31,                0.97203,                 5.3842,                 1.0676,                0.00333,                      1,                  0.995,                  0.597,                  1.364,                 7.6746,                 1.1401,              0.0004218,              0.0004218,              0.0004218
                     32,                 0.8043,                 4.4303,                0.94481,                0.00333,                      1,                  0.995,                  0.597,                  1.364,                 7.6746,                 1.1401,             0.00042972,             0.00042972,             0.00042972
                     33,                 1.1251,                 5.8612,                 1.2206,                0.00333,                      1,                  0.995,                 0.4975,                 1.3021,                 7.8413,                 1.1398,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.2412,                 9.3503,                 1.1126,                0.00333,                      1,                  0.995,                 0.4975,                 1.3021,                 7.8413,                 1.1398,             0.00044438,             0.00044438,             0.00044438
                     35,                0.82943,                 5.9406,                0.85964,                0.00333,                      1,                  0.995,                  0.398,                 1.3529,                 8.8973,                 1.1979,             0.00045111,             0.00045111,             0.00045111
                     36,                0.92838,                 4.7792,                0.91475,                0.00333,                      1,                  0.995,                  0.398,                 1.3529,                 8.8973,                 1.1979,             0.00045745,             0.00045745,             0.00045745
                     37,                0.62513,                  3.333,                0.85928,                0.00333,                      1,                  0.995,                 0.2985,                 1.4145,                 8.1929,                 1.2557,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.0784,                 5.1342,                  1.196,                0.00333,                      1,                  0.995,                 0.2985,                 1.4145,                 8.1929,                 1.2557,             0.00046894,             0.00046894,             0.00046894
                     39,                0.55061,                 6.0233,                0.80086,                0.53431,                      1,                  0.995,                 0.2985,                 1.5511,                 7.5941,                 1.3117,             0.00047409,             0.00047409,             0.00047409
                     40,                0.70118,                  4.967,                0.96895,                0.53431,                      1,                  0.995,                 0.2985,                 1.5511,                 7.5941,                 1.3117,             0.00047884,             0.00047884,             0.00047884
                     41,                0.70123,                 4.7573,                0.98391,                0.00333,                      1,                  0.995,                  0.398,                 1.4133,                 7.3678,                 1.3558,              0.0004832,              0.0004832,              0.0004832
                     42,                0.80811,                 2.5852,                0.99777,                0.00333,                      1,                  0.995,                  0.398,                 1.4133,                 7.3678,                 1.3558,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.3859,                  5.553,                  1.143,                0.00333,                      1,                  0.995,                 0.2985,                 1.2084,                 7.5893,                 1.4207,             0.00049073,             0.00049073,             0.00049073
                     44,                0.85003,                 9.0551,                 1.2136,                0.00333,                      1,                  0.995,                 0.2985,                 1.2084,                 7.5893,                 1.4207,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.2364,                 4.5969,                 1.0528,                0.00333,                      1,                 0.4975,                0.20895,                 1.2418,                   7.25,                 1.4136,             0.00049667,             0.00049667,             0.00049667
                     46,                0.86037,                 3.7169,                0.96402,                0.00333,                      1,                 0.4975,                0.20895,                 1.2418,                   7.25,                 1.4136,             0.00049905,             0.00049905,             0.00049905
                     47,                0.87211,                 7.8053,                 1.2136,                0.00333,                      1,                  0.995,                 0.6965,                 1.1846,                 7.1416,                  1.246,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.0045,                 5.9949,                 1.1084,                0.00333,                      1,                  0.995,                 0.6965,                 1.1846,                 7.1416,                  1.246,             0.00050262,             0.00050262,             0.00050262
                     49,                0.59226,                 6.2476,                0.91928,                0.00333,                      1,                  0.995,                  0.597,                 1.2096,                 7.2941,                 1.2938,             0.00050381,             0.00050381,             0.00050381
