                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8833,                 14.239,                 1.9649,                0.01604,                0.70833,                0.34122,                0.21429,                 1.3242,                 11.087,                  1.421,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.4008,                 15.179,                 1.5011,                 0.0027,                 0.6875,                0.44816,                0.26658,                 1.5482,                 11.417,                 1.5769,             0.00051575,             0.00051575,             0.00051575
                      3,                 1.5331,                 11.227,                 1.4714,                0.00127,                   0.75,                0.49913,                0.26969,                 1.8443,                 13.228,                 1.9944,             0.00078039,             0.00078039,             0.00078039
                      4,                 1.5714,                 10.177,                 1.5104,                0.93426,                   0.25,                0.33803,                0.21071,                 1.9528,                 11.294,                 2.0144,               0.001044,               0.001044,               0.001044
                      5,                 1.5628,                 8.8368,                 1.5406,                0.97813,                  0.875,                0.89688,                0.38666,                 1.6543,                 7.4354,                 1.5956,              0.0013065,              0.0013065,              0.0013065
                      6,                 1.5916,                 7.3388,                 1.5112,                0.53252,                   0.75,                0.65988,                0.39061,                 1.4088,                 10.932,                  1.385,               0.001568,               0.001568,               0.001568
                      7,                 1.4713,                 9.3078,                 1.3715,                0.56318,                0.77083,                0.74088,                0.40555,                 1.4257,                 10.354,                 1.4201,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.7033,                 6.3812,                 1.5434,                0.26944,                    0.5,                 0.5366,                0.33476,                 1.5824,                 19.183,                 1.6113,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.5721,                 5.5071,                 1.4009,                0.64776,                0.59734,                0.57515,                0.31644,                 1.5699,                 28.476,                 1.5766,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.5958,                 4.4994,                 1.4547,                0.98145,                0.74317,                0.86398,                 0.5491,                  1.389,                 9.8459,                 1.3421,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.4872,                 4.3474,                 1.4001,                0.63232,                  0.875,                0.84553,                0.44651,                 1.6248,                 5.6899,                 1.5108,               0.001634,               0.001634,               0.001634
                     12,                 1.4376,                 4.2833,                 1.3616,                 0.7205,                 0.8948,                 0.9114,                0.58757,                 1.4272,                  4.337,                 1.3321,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.5252,                  4.096,                  1.399,                0.77479,                  0.875,                0.81665,                0.46132,                 1.6259,                 4.0595,                 1.4364,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.6134,                 3.3962,                 1.4779,                0.85257,                0.77392,                0.83036,                0.45197,                 1.7034,                 7.7766,                 1.5851,              0.0016241,              0.0016241,              0.0016241
                     15,                  1.529,                 3.5768,                 1.4862,                 0.8642,                 0.9244,                 0.9155,                0.52752,                 1.6259,                 1.9974,                 1.4821,              0.0016208,              0.0016208,              0.0016208
                     16,                  1.511,                 2.5864,                 1.3605,                0.95004,                0.55724,                0.73036,                0.41012,                  1.733,                  3.179,                 1.4633,              0.0016175,              0.0016175,              0.0016175
                     17,                 1.7533,                 2.8969,                 1.5128,                0.93441,                  0.625,                0.80859,                0.57063,                 1.3896,                 4.6347,                  1.304,              0.0016142,              0.0016142,              0.0016142
                     18,                 1.7377,                 2.8432,                  1.452,                0.87689,                  0.625,                0.78051,                0.46076,                 1.7352,                 4.5876,                 1.4953,              0.0016109,              0.0016109,              0.0016109
                     19,                 1.5067,                 2.3519,                 1.4009,                0.96429,                0.92611,                0.93506,                0.62823,                  1.333,                 1.9467,                 1.2431,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.3332,                 2.6915,                 1.2492,                0.90638,                 0.9375,                0.91134,                0.57692,                 1.6309,                 1.5345,                 1.5145,              0.0016043,              0.0016043,              0.0016043
                     21,                 1.4284,                  1.984,                 1.3319,                0.96582,                 0.9375,                0.93504,                0.58473,                 1.4168,                 2.3536,                 1.2811,               0.001601,               0.001601,               0.001601
                     22,                 1.4742,                 1.9085,                 1.3821,                0.93801,                 0.9375,                0.93509,                0.60801,                 1.5413,                 1.3534,                 1.4065,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.5242,                 1.8986,                 1.4073,                 0.9056,                  0.875,                0.90798,                0.60667,                 1.3107,                 1.8437,                 1.2324,              0.0015944,              0.0015944,              0.0015944
                     24,                 1.4115,                 1.6799,                 1.3507,                0.99461,                0.86559,                0.87024,                0.52462,                 1.6335,                 1.3892,                 1.4659,              0.0015911,              0.0015911,              0.0015911
                     25,                 1.3468,                  1.588,                 1.2973,                0.61644,                0.65792,                0.67075,                0.40748,                 1.8465,                 1.9929,                 1.5735,              0.0015878,              0.0015878,              0.0015878
                     26,                 1.4875,                 1.7828,                 1.4409,                0.90088,                0.82835,                0.84009,                0.48402,                 1.7033,                 1.2967,                 1.4672,              0.0015845,              0.0015845,              0.0015845
                     27,                 1.4751,                 1.5116,                 1.3689,                0.82174,                0.68328,                0.80776,                0.45745,                 1.7409,                 1.7035,                 1.4828,              0.0015812,              0.0015812,              0.0015812
                     28,                 1.4064,                 1.7632,                 1.3037,                0.77501,                  0.625,                0.71126,                0.45482,                 1.7712,                 1.8771,                 1.4314,              0.0015779,              0.0015779,              0.0015779
                     29,                  1.418,                  1.531,                 1.3203,                0.98139,                  0.875,                0.92182,                0.53508,                 1.5317,                 1.0401,                 1.3485,              0.0015746,              0.0015746,              0.0015746
                     30,                 1.3073,                 1.3212,                 1.2483,                0.96921,                 0.9375,                0.93603,                0.66042,                 1.3552,                0.79619,                 1.3514,              0.0015713,              0.0015713,              0.0015713
                     31,                 1.3596,                 1.2895,                 1.3539,                0.57972,                0.85417,                0.86359,                0.50207,                 1.5146,                 1.7939,                 1.4133,               0.001568,               0.001568,               0.001568
                     32,                  1.215,                 1.3065,                 1.1428,                0.71272,                0.85417,                 0.9031,                0.53771,                  1.513,                 2.0712,                 1.4176,              0.0015647,              0.0015647,              0.0015647
                     33,                 1.3858,                 1.3612,                 1.3053,                0.84128,                0.78163,                0.87297,                0.51038,                 1.5979,                 1.4945,                 1.3799,              0.0015614,              0.0015614,              0.0015614
                     34,                 1.3844,                 1.2429,                 1.2793,                0.94972,                 0.9375,                0.93535,                 0.6373,                 1.3729,                 1.0754,                  1.347,              0.0015581,              0.0015581,              0.0015581
                     35,                 1.1719,                 1.1592,                 1.1679,                0.97389,                 0.9375,                0.93591,                0.62318,                 1.3006,                0.79529,                 1.2718,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.2847,                   1.18,                 1.2338,                0.93949,                0.84476,                0.90704,                0.60923,                 1.3929,                0.85984,                 1.2777,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.3196,                 1.0979,                 1.2921,                0.88827,                0.85922,                0.87975,                0.57248,                  1.703,                  1.403,                 1.3922,              0.0015482,              0.0015482,              0.0015482
                     38,                 1.3218,                 1.1781,                 1.2442,                0.92371,                 0.9251,                0.92751,                0.61883,                 1.4799,                 0.9157,                 1.3612,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.3211,                 1.2054,                 1.2388,                0.82719,                   0.75,                0.82925,                0.48448,                 1.5158,                 1.2554,                 1.4539,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.3873,                 1.0786,                 1.2932,                0.81983,                0.90755,                0.85287,                0.52395,                 1.5182,                 1.3247,                 1.4468,              0.0015383,              0.0015383,              0.0015383
                     41,                 1.3454,                 1.1279,                 1.2651,                0.94801,                0.81223,                0.93629,                0.55807,                  1.634,                 1.0936,                 1.4866,               0.001535,               0.001535,               0.001535
                     42,                  1.411,                 1.0955,                 1.2947,                0.96745,                0.87035,                0.90916,                0.51043,                 1.6425,                0.97581,                 1.5018,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.2959,                 1.0293,                  1.218,                0.92638,                  0.875,                0.89935,                0.49188,                 1.6079,                 1.0693,                 1.4238,              0.0015284,              0.0015284,              0.0015284
                     44,                 1.5349,                 1.1749,                 1.4091,                0.95748,                  0.875,                 0.8954,                0.54565,                 1.5642,                0.93904,                  1.417,              0.0015251,              0.0015251,              0.0015251
                     45,                 1.3656,                 1.0095,                 1.3728,                0.96657,                0.92828,                0.93568,                0.59703,                   1.39,                0.82526,                 1.2533,              0.0015218,              0.0015218,              0.0015218
                     46,                 1.1953,                 1.2994,                 1.1439,                0.81914,                0.92942,                0.90883,                0.56273,                 1.4667,                0.86644,                 1.3366,              0.0015185,              0.0015185,              0.0015185
                     47,                 1.3725,                 1.0166,                 1.2612,                0.96346,                0.92568,                0.93542,                0.62352,                 1.3982,                0.91337,                 1.2677,              0.0015152,              0.0015152,              0.0015152
                     48,                 1.3277,                 1.0389,                 1.2357,                0.96364,                 0.9375,                0.93555,                0.60358,                 1.3569,                0.78197,                 1.2596,              0.0015119,              0.0015119,              0.0015119
                     49,                 1.1763,                 1.1213,                 1.1786,                0.82698,                 0.9375,                0.91179,                0.60081,                 1.4777,                0.81804,                 1.3293,              0.0015086,              0.0015086,              0.0015086
                     50,                 1.1965,                0.92528,                 1.1794,                0.68718,                0.77083,                0.78977,                0.49136,                 1.5031,                 1.1152,                 1.3912,              0.0015053,              0.0015053,              0.0015053
                     51,                 1.2263,                0.92708,                 1.2117,                 0.8253,                 0.9375,                0.90394,                 0.4943,                 1.6174,                 1.0198,                 1.4092,               0.001502,               0.001502,               0.001502
                     52,                  1.268,                 1.0229,                 1.1935,                0.91675,                 0.9375,                0.93529,                0.51447,                 1.5434,                   1.03,                 1.3635,              0.0014987,              0.0014987,              0.0014987
                     53,                  1.172,                0.93852,                 1.1471,                0.89857,                 0.9375,                0.93569,                 0.5643,                 1.5433,                0.81181,                 1.3875,              0.0014954,              0.0014954,              0.0014954
