                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71819,                 7.9222,                0.97061,                0.00333,                      1,                0.00334,                0.00067,                 1.5456,                 9.8229,                 1.6949,                      0,                      0,                      0
                      2,                0.77231,                 6.6066,                 1.1481,                0.00333,                      1,                0.00334,                0.00067,                 1.5413,                 9.6754,                 1.6877,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 1.1874,                 6.8078,                 1.4089,                0.00333,                      1,                0.00334,                0.00067,                 1.5123,                 9.9743,                 1.6781,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                  1.045,                  10.85,                 1.1624,                0.00333,                      1,                0.00334,                0.00067,                  1.504,                 9.9197,                 1.6726,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 1.1791,                 9.6059,                 1.4269,                0.00333,                      1,                0.00352,                0.00105,                 1.6038,                  10.32,                 1.6664,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 1.2882,                 6.3361,                 1.3405,                0.00333,                      1,                 0.0061,                0.00061,                  1.737,                  10.26,                 1.7253,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                0.76123,                 7.0222,                 1.2192,                0.00333,                      1,                0.01327,                0.00398,                 1.5821,                 10.137,                 1.7031,             0.00011857,             0.00011857,             0.00011857
                      8,                 1.2195,                 9.7524,                 1.2892,                0.00333,                      1,                0.04975,                0.02488,                 1.7056,                 8.0264,                 1.5268,             0.00013806,             0.00013806,             0.00013806
                      9,                0.78855,                 4.7971,                0.98062,                0.00333,                      1,                0.24875,                0.12437,                 1.5199,                 7.2261,                 1.5303,             0.00015747,             0.00015747,             0.00015747
                     10,                 1.0542,                 6.1574,                  1.074,                0.00333,                      1,                0.33167,                0.16583,                 1.5822,                 7.5668,                 1.4638,             0.00017679,             0.00017679,             0.00017679
                     11,                0.99097,                 4.5867,                 1.0182,                0.00333,                      1,                  0.995,                 0.4975,                 1.5406,                 7.9796,                 1.4536,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.0002,                 5.1566,                 1.0969,                0.00333,                      1,                  0.995,                 0.4975,                 1.7274,                 7.1498,                 1.4361,             0.00021521,             0.00021521,             0.00021521
                     13,                0.85971,                  8.215,                0.99731,                0.00333,                      1,                  0.995,                 0.4975,                 1.7318,                 7.1732,                 1.4739,              0.0002343,              0.0002343,              0.0002343
                     14,                0.81368,                 4.6329,                0.90337,                0.00333,                      1,                  0.995,                  0.597,                 1.6886,                 7.5302,                 1.4699,             0.00025331,             0.00025331,             0.00025331
                     15,                0.82424,                 3.4517,                0.94173,                0.00333,                      1,                  0.995,                 0.4975,                 1.7867,                 7.3468,                 1.4439,             0.00027224,             0.00027224,             0.00027224
                     16,                 1.0178,                 3.5677,                0.92408,                0.00333,                      1,                  0.995,                 0.4975,                 1.9102,                 7.7327,                 1.3974,             0.00029109,             0.00029109,             0.00029109
                     17,                0.42939,                 6.8819,                0.84943,                0.00333,                      1,                  0.995,                  0.398,                 1.9685,                 8.7264,                 1.5619,             0.00030986,             0.00030986,             0.00030986
                     18,                 1.1856,                 3.5696,                 1.2532,                0.00333,                      1,                  0.995,                  0.398,                 1.9685,                 8.7264,                 1.5619,             0.00032856,             0.00032856,             0.00032856
                     19,                0.68899,                  3.501,                0.91755,                0.00333,                      1,                  0.995,                  0.398,                 1.9431,                 8.1252,                 1.5294,             0.00034717,             0.00034717,             0.00034717
                     20,                0.94093,                 8.3331,                 1.0201,                0.00333,                      1,                  0.995,                  0.398,                 1.9431,                 8.1252,                 1.5294,              0.0003657,              0.0003657,              0.0003657
                     21,                 1.2191,                 9.4024,                 1.2301,                0.00333,                      1,                  0.995,                0.30161,                 1.6894,                 7.9131,                 1.5006,             0.00038416,             0.00038416,             0.00038416
                     22,                0.89316,                 14.407,                 1.1729,                0.00333,                      1,                  0.995,                0.30161,                 1.6894,                 7.9131,                 1.5006,             0.00040254,             0.00040254,             0.00040254
                     23,                 1.0683,                 5.7955,                 1.1549,                0.00333,                      1,                  0.995,                 0.4975,                   1.74,                 8.2199,                  1.324,             0.00042083,             0.00042083,             0.00042083
                     24,                0.91434,                 6.0691,                0.87341,                0.00333,                      1,                  0.995,                 0.4975,                   1.74,                 8.2199,                  1.324,             0.00043905,             0.00043905,             0.00043905
                     25,                 1.1037,                 7.5178,                 1.0172,                0.00333,                      1,                  0.995,                 0.4975,                  1.832,                 8.9186,                 1.3238,             0.00045719,             0.00045719,             0.00045719
                     26,                0.87307,                 3.5933,                 1.0457,                0.00333,                      1,                  0.995,                 0.4975,                  1.832,                 8.9186,                 1.3238,             0.00047525,             0.00047525,             0.00047525
                     27,                 1.1496,                 3.6481,                 1.0202,                0.00333,                      1,                  0.995,                 0.4975,                 1.9616,                 9.3104,                 1.4936,             0.00049323,             0.00049323,             0.00049323
                     28,                0.81402,                 4.3102,                0.84105,                0.00333,                      1,                  0.995,                 0.4975,                 1.9616,                 9.3104,                 1.4936,             0.00051113,             0.00051113,             0.00051113
                     29,                0.72859,                  2.994,                0.97972,                0.00333,                      1,                  0.995,                0.21709,                 1.7742,                 7.8972,                 1.6084,             0.00052895,             0.00052895,             0.00052895
                     30,                0.73707,                 2.2902,                 0.8532,                0.00333,                      1,                  0.995,                0.21709,                 1.7742,                 7.8972,                 1.6084,              0.0005467,              0.0005467,              0.0005467
                     31,                 0.8033,                 4.6841,                 1.2586,                0.00333,                      1,                  0.995,                0.22743,                 1.7558,                 7.6766,                 1.5711,             0.00056436,             0.00056436,             0.00056436
                     32,                0.80117,                 4.2655,                0.87913,                0.00333,                      1,                  0.995,                0.22743,                 1.7558,                 7.6766,                 1.5711,             0.00058194,             0.00058194,             0.00058194
                     33,                 1.2182,                 5.9892,                 1.5292,                0.00333,                      1,                  0.995,                  0.398,                 1.9016,                  7.381,                 1.4841,             0.00059945,             0.00059945,             0.00059945
                     34,                 1.1239,                 8.2001,                 1.2078,                0.00333,                      1,                  0.995,                  0.398,                 1.9016,                  7.381,                 1.4841,             0.00061688,             0.00061688,             0.00061688
                     35,                0.74437,                 5.1224,                0.86839,                0.00333,                      1,                  0.995,                  0.398,                 1.9653,                 8.6926,                 1.4547,             0.00063422,             0.00063422,             0.00063422
                     36,                0.92667,                 4.8429,                0.97133,                0.00333,                      1,                  0.995,                  0.398,                 1.9653,                 8.6926,                 1.4547,             0.00065149,             0.00065149,             0.00065149
                     37,                0.77556,                 3.1522,                 1.0509,                0.00333,                      1,                  0.995,                  0.398,                 1.9311,                 7.3891,                  1.811,             0.00066868,             0.00066868,             0.00066868
                     38,                0.91987,                 6.7291,                 1.0931,                0.00333,                      1,                  0.995,                  0.398,                 1.9311,                 7.3891,                  1.811,             0.00068579,             0.00068579,             0.00068579
                     39,                0.84872,                 8.4658,                 1.1984,                0.00333,                      1,                  0.995,                  0.398,                 1.8592,                 7.7927,                  2.206,             0.00070282,             0.00070282,             0.00070282
                     40,                0.84403,                 4.4559,                 1.0194,                0.00333,                      1,                  0.995,                  0.398,                 1.8592,                 7.7927,                  2.206,             0.00071977,             0.00071977,             0.00071977
                     41,                0.73962,                 4.4658,                0.99429,                0.00333,                      1,                  0.995,                0.36483,                 1.7563,                 7.7746,                 1.7598,             0.00073664,             0.00073664,             0.00073664
                     42,                 1.2034,                 2.8664,                 1.1145,                0.00333,                      1,                  0.995,                0.36483,                 1.7563,                 7.7746,                 1.7598,             0.00075343,             0.00075343,             0.00075343
                     43,                 1.0369,                 6.2215,                 1.0686,                0.00333,                      1,                  0.995,                0.33167,                 1.8969,                  8.093,                 1.8806,             0.00077015,             0.00077015,             0.00077015
                     44,                0.99889,                 7.5282,                 1.2377,                0.00333,                      1,                  0.995,                0.33167,                 1.8969,                  8.093,                 1.8806,             0.00078678,             0.00078678,             0.00078678
                     45,                0.88744,                 4.1384,                 1.0398,                0.00333,                      1,                0.24875,                0.08884,                 1.8407,                 7.5958,                  1.807,             0.00080333,             0.00080333,             0.00080333
                     46,                0.86934,                 3.3396,                0.94739,                0.00333,                      1,                0.24875,                0.08884,                 1.8407,                 7.5958,                  1.807,             0.00081981,             0.00081981,             0.00081981
                     47,                0.84372,                 6.8936,                 1.2106,                 0.4036,                 0.8072,                 0.4975,                0.13267,                 1.7404,                 8.5528,                 1.6948,             0.00083621,             0.00083621,             0.00083621
                     48,                 1.1677,                 5.3024,                 1.1692,                 0.4036,                 0.8072,                 0.4975,                0.13267,                 1.7404,                 8.5528,                 1.6948,             0.00085252,             0.00085252,             0.00085252
                     49,                0.57968,                 6.5594,                0.91957,                0.00333,                      1,                  0.199,                 0.1592,                 1.2264,                 8.9656,                 1.3153,             0.00086876,             0.00086876,             0.00086876
                     50,                0.87506,                 4.4473,                 1.1378,                0.00333,                      1,                  0.199,                 0.1592,                 1.2264,                 8.9656,                 1.3153,             0.00088492,             0.00088492,             0.00088492
