                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5811,                 12.335,                 1.5254,                      0,                      0,                      0,                      0,                 1.3315,                 9.9874,                 1.6086,                      0,                      0,                      0
                      2,                 1.1461,                 7.1966,                 1.3419,                      0,                      0,                      0,                      0,                 1.3341,                 9.9636,                  1.609,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 1.2134,                 6.6411,                 1.2356,                      0,                      0,                      0,                      0,                 1.3342,                  9.997,                 1.6082,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                 1.2714,                 12.329,                 1.2662,                      0,                      0,                      0,                      0,                 1.3915,                 9.9199,                 1.5955,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 1.6448,                 11.764,                  1.453,                      0,                      0,                      0,                      0,                 1.3901,                 9.9531,                 1.5965,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 1.0734,                 7.4015,                 1.3041,                      0,                      0,                      0,                      0,                 1.3028,                 10.359,                 1.6354,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                 1.3079,                 6.7998,                 1.2376,                      0,                      0,                      0,                      0,                 1.2968,                 10.341,                 1.6355,             0.00011857,             0.00011857,             0.00011857
                      8,                0.97468,                  7.013,                  1.171,                0.00333,                      1,                0.01877,                0.00751,                 1.6101,                 8.4741,                 1.6738,             0.00013806,             0.00013806,             0.00013806
                      9,                  1.235,                   8.36,                 1.0762,                0.00333,                      1,                  0.995,                 0.4975,                 1.8294,                 7.7899,                 1.5515,             0.00015747,             0.00015747,             0.00015747
                     10,                0.90675,                  5.239,                 1.0045,                0.00333,                      1,                  0.995,                 0.4975,                 1.7873,                 8.4921,                  1.486,             0.00017679,             0.00017679,             0.00017679
                     11,                 1.0699,                 6.0885,                 1.1092,                0.00333,                      1,                  0.995,                  0.597,                 1.6738,                 6.5237,                 1.2521,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.2382,                 5.5834,                 1.0436,                0.00333,                      1,                  0.995,                 0.4975,                 1.7425,                 6.2886,                 1.2087,             0.00021521,             0.00021521,             0.00021521
                     13,                0.75134,                  3.951,                0.87697,                0.00333,                      1,                  0.995,                 0.4975,                 1.7036,                 6.3913,                 1.1693,              0.0002343,              0.0002343,              0.0002343
                     14,                 1.0472,                 4.3257,                 0.9639,                0.00333,                      1,                  0.995,                 0.4975,                 1.7949,                 7.9523,                 1.1923,             0.00025331,             0.00025331,             0.00025331
                     15,                0.81172,                  6.579,                0.99099,                0.00333,                      1,                  0.995,                 0.4975,                 1.7217,                 8.2649,                 1.1999,             0.00027224,             0.00027224,             0.00027224
                     16,                 1.0598,                 4.9817,                 1.0019,                0.00333,                      1,                  0.995,                 0.4975,                 1.8891,                 8.1656,                  1.265,             0.00029109,             0.00029109,             0.00029109
                     17,                0.81317,                 4.8553,                0.89838,                0.00333,                      1,                  0.995,                  0.398,                 1.9856,                 7.2637,                 1.3519,             0.00030986,             0.00030986,             0.00030986
                     18,                0.90953,                 5.0456,                0.93519,                0.00333,                      1,                  0.995,                  0.398,                 1.9856,                 7.2637,                 1.3519,             0.00032856,             0.00032856,             0.00032856
                     19,                0.86558,                  4.847,                0.97261,                0.00333,                      1,                  0.995,                  0.398,                 1.9129,                 6.9105,                 1.4887,             0.00034717,             0.00034717,             0.00034717
