                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8885,                 6.0723,                 1.5989,                0.00125,                 0.6875,                0.36562,                0.17584,                 1.4585,                 4.9968,                  1.145,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.4894,                 5.4608,                 1.2966,                 0.0015,                0.85417,                0.71428,                0.38242,                 1.2551,                 5.0512,                 1.3088,             0.00051575,             0.00051575,             0.00051575
                      3,                 1.6167,                 4.1623,                  1.347,                 0.0016,                 0.9375,                0.58997,                0.30728,                  1.419,                 4.8284,                 1.2549,             0.00078039,             0.00078039,             0.00078039
                      4,                 1.6752,                 4.2834,                 1.4724,                0.00173,                      1,                0.79719,                0.43049,                 1.3802,                 4.4597,                 1.3555,               0.001044,               0.001044,               0.001044
                      5,                 1.5934,                 3.7676,                 1.5038,                0.85848,                0.39583,                0.71976,                0.37396,                 1.5439,                 3.6063,                 1.5323,              0.0013065,              0.0013065,              0.0013065
                      6,                 1.5924,                 3.2063,                 1.4172,                0.71419,                0.75181,                0.81482,                0.48851,                 1.3026,                 2.6893,                 1.3627,               0.001568,               0.001568,               0.001568
                      7,                 1.3888,                 3.5865,                 1.2952,                0.91631,                0.82803,                0.89282,                0.54251,                 1.4589,                 3.0425,                 1.4566,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.5823,                 2.7934,                 1.3919,                0.88999,                0.92126,                0.92695,                0.48349,                 1.7137,                 4.1569,                 1.7323,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.5627,                 2.5951,                  1.378,                0.75172,                0.77386,                0.83074,                0.48146,                 1.5334,                 4.4124,                 1.5345,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.4576,                 2.0923,                 1.3297,                0.96592,                    0.5,                  0.521,                0.24709,                  1.907,                 5.2359,                 1.8582,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.5364,                 2.1033,                 1.4058,                0.92531,                    0.5,                0.70011,                0.33065,                 2.0453,                 3.6486,                 1.8939,               0.001634,               0.001634,               0.001634
                     12,                 1.4511,                 2.1671,                 1.3055,                      1,                0.47023,                0.58365,                0.36471,                 2.1944,                  3.724,                 1.9933,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.5887,                 2.1707,                 1.3984,                0.94165,                0.91287,                0.93509,                 0.4879,                 1.6867,                 2.2129,                 1.6435,              0.0016274,              0.0016274,              0.0016274
