                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1387,                 5.5973,                 1.7761,                0.00113,                0.64444,                0.33509,                0.14508,                 1.5169,                 5.0656,                 1.4762,             0.00043342,             0.00043342,             0.00043342
                      2,                  1.736,                  4.164,                 1.6412,                0.00105,                0.50556,                 0.0119,                  0.006,                 1.8521,                   5.58,                 2.2205,             0.00088176,             0.00088176,             0.00088176
                      3,                 1.8581,                 3.2948,                 1.7521,                0.92275,                0.59423,                 0.9447,                0.38419,                 1.7621,                 3.4628,                 2.0171,              0.0013283,              0.0013283,              0.0013283
                      4,                 1.8006,                 2.9345,                 1.6756,                 0.7201,                0.77615,                0.89997,                0.41234,                 1.9998,                 2.9234,                 2.4913,              0.0016571,              0.0016571,              0.0016571
                      5,                 1.8491,                 2.6175,                 1.7221,                0.85669,                0.87912,                0.93482,                0.44397,                 1.8561,                 3.2473,                 2.1222,              0.0016538,              0.0016538,              0.0016538
                      6,                 1.6947,                 2.4326,                 1.6602,                0.94864,                0.89183,                0.95614,                0.46062,                 1.8297,                 2.5902,                 2.1154,              0.0016505,              0.0016505,              0.0016505
                      7,                 1.7529,                 2.5219,                 1.6288,                0.93282,                0.83333,                0.94437,                0.37256,                 2.1226,                 3.3919,                 2.3909,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.6778,                 1.9206,                 1.6087,                0.85901,                0.77062,                 0.8165,                0.42888,                 1.7562,                 4.9036,                 1.9819,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.7222,                 1.8432,                  1.642,                0.77878,                0.72222,                0.77436,                0.34928,                 1.8966,                 2.7875,                 2.0306,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.8327,                  1.993,                 1.6715,                0.98904,                 0.8261,                0.90305,                0.34425,                 1.7789,                 1.6211,                 2.0676,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.7818,                 1.7183,                 1.6233,                0.92777,                0.88889,                0.91886,                0.52234,                 1.6077,                 1.3685,                 1.9517,               0.001634,               0.001634,               0.001634
                     12,                 1.6405,                 1.5121,                 1.5842,                0.95054,                0.84602,                0.95902,                0.47139,                 1.5384,                 1.4428,                 1.9179,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.5991,                 1.5565,                 1.5677,                0.91725,                0.88281,                0.92207,                0.49522,                 1.5973,                 1.3063,                 1.8422,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.6124,                 1.3892,                 1.5684,                0.98284,                0.80556,                0.87365,                0.42353,                 1.7938,                 1.2244,                 2.0115,              0.0016241,              0.0016241,              0.0016241
                     15,                 1.6113,                 1.4067,                 1.5313,                0.96628,                0.91667,                0.93936,                0.49631,                 1.5736,                 1.0943,                 1.8157,              0.0016208,              0.0016208,              0.0016208
                     16,                 1.6338,                 1.4416,                 1.5242,                0.90171,                0.94149,                 0.9361,                0.47102,                 1.6362,                 1.2515,                  1.833,              0.0016175,              0.0016175,              0.0016175
                     17,                 1.6627,                    1.4,                 1.5833,                0.95464,                0.94444,                0.95765,                0.48159,                 1.5464,                 1.1169,                   1.93,              0.0016142,              0.0016142,              0.0016142
                     18,                 1.5482,                  1.398,                 1.5148,                0.66033,                0.92648,                0.92489,                0.48215,                 1.5523,                  2.053,                 1.9417,              0.0016109,              0.0016109,              0.0016109
                     19,                 1.5563,                 1.2519,                 1.4597,                 0.9223,                0.93229,                0.95427,                0.48409,                 1.6769,                 1.1137,                 2.0502,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.5481,                 1.2359,                 1.5094,                0.97055,                0.91667,                0.93631,                0.43388,                 1.7668,                0.96524,                 1.9687,              0.0016043,              0.0016043,              0.0016043
                     21,                 1.5961,                 1.2804,                 1.5372,                0.98473,                0.87493,                0.95355,                0.44467,                 1.7113,                 1.0095,                 1.9991,               0.001601,               0.001601,               0.001601
                     22,                 1.6529,                 1.2546,                 1.5905,                0.95504,                0.93373,                0.95621,                0.45404,                 1.6728,                 1.0891,                 1.9562,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.6571,                 1.2185,                 1.5765,                0.95006,                0.88889,                0.94669,                0.45709,                 1.8726,                0.99368,                 2.0936,              0.0015944,              0.0015944,              0.0015944
