                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1071,                 12.859,                   2.17,                0.00299,                0.97222,                0.28092,                0.13534,                 1.3251,                 8.5567,                 1.7853,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.7813,                 9.3064,                 1.8603,                0.95764,                0.30048,                0.38043,                0.20169,                 1.6186,                  9.261,                 2.3946,             0.00071539,             0.00071539,             0.00071539
                      3,                 1.7672,                 7.1956,                 1.8547,                0.60428,                0.42904,                0.38122,                0.15647,                 2.2532,                 10.379,                 2.9482,              0.0010793,              0.0010793,              0.0010793
                      4,                 1.8769,                 6.6513,                 1.8695,                0.51059,                0.27778,                0.01257,                0.00414,                 2.3738,                 9.2195,                 2.8878,              0.0014417,              0.0014417,              0.0014417
                      5,                 1.8408,                 6.0901,                 1.8056,                0.69182,                0.52778,                0.42628,                0.22186,                 1.8389,                  9.094,                 2.3737,              0.0016538,              0.0016538,              0.0016538
                      6,                 1.8313,                 5.1327,                 1.7768,                0.64487,                0.97222,                 0.9376,                0.51078,                 1.5676,                 14.827,                 2.0051,              0.0016505,              0.0016505,              0.0016505
                      7,                 1.7698,                 4.2363,                 1.7603,                0.26834,                0.63889,                 0.6751,                0.21566,                 1.9901,                 27.193,                 2.3786,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.7615,                 4.0322,                   1.74,                0.70046,                0.94444,                0.87677,                0.32853,                 1.5906,                 4.4783,                  1.921,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.6928,                 3.4665,                 1.6997,                 0.6238,                0.61328,                0.69673,                0.24101,                 2.0197,                 7.4372,                 2.3886,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.6221,                  3.084,                 1.6114,                0.82857,                0.88889,                0.90996,                0.41088,                 1.6597,                 3.8503,                 1.8491,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.7841,                 2.8255,                 1.7402,                0.66843,                 0.9336,                0.82197,                0.34967,                 1.9007,                 2.3472,                 2.0232,               0.001634,               0.001634,               0.001634
                     12,                 1.7609,                  2.454,                 1.7044,                0.94847,                0.36111,                0.83073,                0.30491,                 1.7317,                 2.2827,                 1.9017,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.6302,                 2.3534,                 1.6359,                0.90492,                0.86111,                0.88024,                0.35204,                 2.0616,                 2.1254,                 2.1202,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.7522,                 2.1675,                 1.7041,                0.82003,                0.91667,                0.90833,                0.35805,                 2.0374,                  2.203,                  2.472,              0.0016241,              0.0016241,              0.0016241
                     15,                 1.6845,                  1.983,                 1.6433,                0.88597,                0.97222,                0.95942,                0.49698,                 1.7749,                 2.0334,                 2.0811,              0.0016208,              0.0016208,              0.0016208
                     16,                 1.6182,                 1.8739,                 1.6334,                0.54486,                0.97222,                0.93456,                0.42071,                 2.0344,                 3.0557,                 2.1031,              0.0016175,              0.0016175,              0.0016175
                     17,                 1.5777,                 1.7271,                 1.5881,                0.91461,                 0.6493,                0.88675,                0.41828,                 2.0234,                 1.8099,                 2.2145,              0.0016142,              0.0016142,              0.0016142
                     18,                  1.648,                 1.7327,                 1.5948,                0.90046,                0.91667,                0.94477,                0.41528,                 2.0203,                 1.3386,                 2.2398,              0.0016109,              0.0016109,              0.0016109
                     19,                 1.5974,                 1.7317,                 1.5843,                0.77404,                0.86111,                0.82199,                0.35058,                 2.0203,                 2.9844,                  2.132,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.6237,                 1.6253,                 1.5808,                0.91698,                0.97222,                 0.9701,                0.42897,                 1.7063,                  1.791,                 1.8867,              0.0016043,              0.0016043,              0.0016043
                     21,                 1.5662,                 1.5442,                 1.5676,                0.78138,                0.88889,                0.93847,                0.46768,                 1.6142,                 1.2335,                 1.7707,               0.001601,               0.001601,               0.001601
                     22,                 1.5831,                 1.5298,                 1.5922,                0.34301,                0.72222,                0.61039,                0.20848,                 1.6706,                 2.7758,                  1.928,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.5795,                 1.5358,                 1.5825,                0.93707,                0.87911,                0.92424,                0.41244,                 1.6925,                 1.1896,                 1.8513,              0.0015944,              0.0015944,              0.0015944
                     24,                 1.4657,                 1.3601,                 1.4803,                0.93589,                0.90273,                0.94295,                0.56841,                 1.5202,                 1.0438,                 1.7607,              0.0015911,              0.0015911,              0.0015911
                     25,                 1.4731,                 1.2692,                 1.4859,                0.93403,                0.91667,                0.90284,                0.45096,                 1.9322,                  1.285,                 2.0161,              0.0015878,              0.0015878,              0.0015878
                     26,                 1.6011,                 1.4029,                 1.5634,                0.93751,                0.94444,                 0.9408,                0.38728,                 2.0252,                 1.4377,                 2.1567,              0.0015845,              0.0015845,              0.0015845
                     27,                 1.5372,                 1.3275,                  1.529,                0.96035,                0.83666,                0.90816,                0.48989,                 1.6561,                 1.1561,                 1.7764,              0.0015812,              0.0015812,              0.0015812
                     28,                 1.5497,                 1.4325,                 1.5262,                0.91039,                 0.8966,                 0.9666,                0.60102,                 1.4752,                 1.6405,                 1.5256,              0.0015779,              0.0015779,              0.0015779
