                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1159,                 5.5253,                 1.7477,                0.00173,                0.84722,                0.33622,                0.16658,                 1.6889,                 5.0852,                 1.6809,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.7823,                 3.9038,                 1.4891,                0.94685,                0.36111,                0.40734,                0.20592,                 1.5185,                 4.2946,                 1.4612,             0.00070971,             0.00070971,             0.00070971
                      3,                 1.7474,                 3.2333,                 1.4921,                0.96438,                0.19444,                0.31872,                0.18849,                  1.703,                 4.0863,                  1.729,              0.0010621,              0.0010621,              0.0010621
                      4,                 1.8181,                 3.1999,                 1.5931,                0.74451,                0.36111,                0.27417,                 0.1439,                 1.6226,                 3.6636,                 1.7287,              0.0014072,              0.0014072,              0.0014072
                      5,                 1.8412,                 2.9441,                 1.6051,                0.58246,                0.83919,                0.83474,                0.35652,                 1.6738,                 3.1034,                 1.9746,               0.001601,               0.001601,               0.001601
                      6,                 1.7329,                 2.5648,                 1.6118,                0.92335,                0.76775,                0.92027,                0.43093,                 1.6466,                 2.4078,                 1.9546,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7851,                 2.2377,                 1.6258,                0.88771,                0.66424,                0.76244,                0.28884,                 1.6849,                  4.726,                 2.0757,               0.001568,               0.001568,               0.001568
                      8,                 1.7331,                  2.096,                  1.628,                0.89832,                0.80556,                0.90118,                0.45936,                 1.6453,                 3.1097,                 1.9853,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.6216,                 1.8542,                 1.5985,                0.82346,                0.83333,                0.82948,                 0.3638,                  1.804,                 2.5378,                 1.9531,               0.001535,               0.001535,               0.001535
                     10,                 1.5412,                 1.7899,                 1.5079,                0.84728,                0.85151,                0.91079,                 0.4803,                 1.6476,                 1.9207,                 1.8659,              0.0015185,              0.0015185,              0.0015185
