                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1071,                 12.859,                   2.17,                0.00299,                0.97222,                0.28092,                0.13534,                 1.3251,                 8.5567,                 1.7853,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.7813,                 9.3064,                 1.8603,                0.95764,                0.30048,                0.38043,                0.20169,                 1.6186,                  9.261,                 2.3946,             0.00071539,             0.00071539,             0.00071539
                      3,                 1.7672,                 7.1956,                 1.8547,                0.60428,                0.42904,                0.38122,                0.15647,                 2.2532,                 10.379,                 2.9482,              0.0010793,              0.0010793,              0.0010793
                      4,                 1.8769,                 6.6513,                 1.8695,                0.51059,                0.27778,                0.01257,                0.00414,                 2.3738,                 9.2195,                 2.8878,              0.0014417,              0.0014417,              0.0014417
                      5,                 1.8408,                 6.0901,                 1.8056,                0.69182,                0.52778,                0.42628,                0.22186,                 1.8389,                  9.094,                 2.3737,              0.0016538,              0.0016538,              0.0016538
                      6,                 1.8313,                 5.1327,                 1.7768,                0.64487,                0.97222,                 0.9376,                0.51078,                 1.5676,                 14.827,                 2.0051,              0.0016505,              0.0016505,              0.0016505
                      7,                 1.7698,                 4.2363,                 1.7603,                0.26834,                0.63889,                 0.6751,                0.21566,                 1.9901,                 27.193,                 2.3786,              0.0016472,              0.0016472,              0.0016472
                      8,                 1.7615,                 4.0322,                   1.74,                0.70046,                0.94444,                0.87677,                0.32853,                 1.5906,                 4.4783,                  1.921,              0.0016439,              0.0016439,              0.0016439
                      9,                 1.6928,                 3.4665,                 1.6997,                 0.6238,                0.61328,                0.69673,                0.24101,                 2.0197,                 7.4372,                 2.3886,              0.0016406,              0.0016406,              0.0016406
                     10,                 1.6221,                  3.084,                 1.6114,                0.82857,                0.88889,                0.90996,                0.41088,                 1.6597,                 3.8503,                 1.8491,              0.0016373,              0.0016373,              0.0016373
                     11,                 1.7841,                 2.8255,                 1.7402,                0.66843,                 0.9336,                0.82197,                0.34967,                 1.9007,                 2.3472,                 2.0232,               0.001634,               0.001634,               0.001634
                     12,                 1.7609,                  2.454,                 1.7044,                0.94847,                0.36111,                0.83073,                0.30491,                 1.7317,                 2.2827,                 1.9017,              0.0016307,              0.0016307,              0.0016307
                     13,                 1.6302,                 2.3534,                 1.6359,                0.90492,                0.86111,                0.88024,                0.35204,                 2.0616,                 2.1254,                 2.1202,              0.0016274,              0.0016274,              0.0016274
                     14,                 1.7522,                 2.1675,                 1.7041,                0.82003,                0.91667,                0.90833,                0.35805,                 2.0374,                  2.203,                  2.472,              0.0016241,              0.0016241,              0.0016241
                     15,                 1.6845,                  1.983,                 1.6433,                0.88597,                0.97222,                0.95942,                0.49698,                 1.7749,                 2.0334,                 2.0811,              0.0016208,              0.0016208,              0.0016208
                     16,                 1.6182,                 1.8739,                 1.6334,                0.54486,                0.97222,                0.93456,                0.42071,                 2.0344,                 3.0557,                 2.1031,              0.0016175,              0.0016175,              0.0016175
                     17,                 1.5777,                 1.7271,                 1.5881,                0.91461,                 0.6493,                0.88675,                0.41828,                 2.0234,                 1.8099,                 2.2145,              0.0016142,              0.0016142,              0.0016142
                     18,                  1.648,                 1.7327,                 1.5948,                0.90046,                0.91667,                0.94477,                0.41528,                 2.0203,                 1.3386,                 2.2398,              0.0016109,              0.0016109,              0.0016109
                     19,                 1.5974,                 1.7317,                 1.5843,                0.77404,                0.86111,                0.82199,                0.35058,                 2.0203,                 2.9844,                  2.132,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.6237,                 1.6253,                 1.5808,                0.91698,                0.97222,                 0.9701,                0.42897,                 1.7063,                  1.791,                 1.8867,              0.0016043,              0.0016043,              0.0016043
                     21,                 1.5662,                 1.5442,                 1.5676,                0.78138,                0.88889,                0.93847,                0.46768,                 1.6142,                 1.2335,                 1.7707,               0.001601,               0.001601,               0.001601
                     22,                 1.5831,                 1.5298,                 1.5922,                0.34301,                0.72222,                0.61039,                0.20848,                 1.6706,                 2.7758,                  1.928,              0.0015977,              0.0015977,              0.0015977
                     23,                 1.5795,                 1.5358,                 1.5825,                0.93707,                0.87911,                0.92424,                0.41244,                 1.6925,                 1.1896,                 1.8513,              0.0015944,              0.0015944,              0.0015944
                     24,                 1.4657,                 1.3601,                 1.4803,                0.93589,                0.90273,                0.94295,                0.56841,                 1.5202,                 1.0438,                 1.7607,              0.0015911,              0.0015911,              0.0015911
                     25,                 1.4731,                 1.2692,                 1.4859,                0.93403,                0.91667,                0.90284,                0.45096,                 1.9322,                  1.285,                 2.0161,              0.0015878,              0.0015878,              0.0015878
                     26,                 1.6011,                 1.4029,                 1.5634,                0.93751,                0.94444,                 0.9408,                0.38728,                 2.0252,                 1.4377,                 2.1567,              0.0015845,              0.0015845,              0.0015845
                     27,                 1.5372,                 1.3275,                  1.529,                0.96035,                0.83666,                0.90816,                0.48989,                 1.6561,                 1.1561,                 1.7764,              0.0015812,              0.0015812,              0.0015812
                     28,                 1.5497,                 1.4325,                 1.5262,                0.91039,                 0.8966,                 0.9666,                0.60102,                 1.4752,                 1.6405,                 1.5256,              0.0015779,              0.0015779,              0.0015779
                     29,                 1.5856,                 1.4711,                 1.5863,                0.92661,                0.96202,                0.96602,                0.44556,                 1.6469,                 1.1366,                 1.6995,              0.0015746,              0.0015746,              0.0015746
                     30,                 1.4045,                 1.2405,                 1.4647,                0.92326,                0.88889,                0.94512,                0.45595,                 1.9244,                 1.2741,                 2.1139,              0.0015713,              0.0015713,              0.0015713
                     31,                 1.4312,                 1.2305,                  1.468,                0.96117,                0.91667,                0.96007,                0.46856,                 1.8062,                  1.006,                 1.9627,               0.001568,               0.001568,               0.001568
                     32,                 1.4596,                  1.301,                 1.4751,                0.98405,                0.86438,                0.91729,                0.44117,                 1.7334,                 1.5557,                 2.0064,              0.0015647,              0.0015647,              0.0015647
                     33,                 1.4318,                 1.2011,                 1.4776,                0.96259,                0.96183,                0.97008,                0.46413,                 1.6718,                   1.02,                 1.8389,              0.0015614,              0.0015614,              0.0015614
                     34,                 1.4978,                 1.3206,                 1.5188,                0.95104,                0.83333,                 0.8833,                  0.465,                 1.9553,                  1.504,                  1.987,              0.0015581,              0.0015581,              0.0015581
                     35,                 1.4702,                 1.2024,                 1.4886,                0.81974,                0.80556,                0.85203,                0.41353,                 2.1453,                 2.3923,                 2.1341,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.3099,                 1.0327,                 1.3896,                0.95237,                0.94444,                0.96447,                0.47292,                 1.7406,                 0.9677,                  1.968,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.3708,                 1.0373,                 1.4382,                0.92663,                0.97222,                0.97016,                0.44042,                 2.0106,                0.99235,                  2.001,              0.0015482,              0.0015482,              0.0015482
                     38,                 1.4051,                 1.1545,                 1.4703,                0.91317,                0.57022,                  0.633,                0.22075,                 2.1701,                 3.1193,                 2.1823,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.4181,                 1.1102,                 1.4581,                0.91001,                0.89373,                0.94395,                0.50378,                 1.5606,                 1.0877,                 1.7912,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.3587,                 1.0822,                 1.3986,                0.81342,                0.62429,                0.64645,                0.23382,                 2.1914,                  3.234,                 2.4144,              0.0015383,              0.0015383,              0.0015383
                     41,                 1.3765,                 1.0945,                 1.4409,                 0.9479,                0.94444,                 0.9577,                0.46257,                 1.9286,                0.99514,                 2.1444,               0.001535,               0.001535,               0.001535
                     42,                 1.3002,                 1.1006,                 1.4047,                0.97363,                0.94444,                0.96842,                 0.4938,                  1.809,                0.87324,                 1.9757,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.3794,                 1.0445,                 1.4191,                0.85572,                0.91667,                0.91737,                0.38522,                 1.7831,                 1.4255,                 2.0198,              0.0015284,              0.0015284,              0.0015284
                     44,                 1.3371,                 1.0634,                 1.4119,                0.97169,                0.93988,                 0.9623,                0.51317,                 1.7401,                0.81781,                 1.8766,              0.0015251,              0.0015251,              0.0015251
                     45,                 1.3723,                 1.1082,                 1.3596,                 0.9701,                0.92887,                0.96568,                0.45227,                 1.9946,                0.89887,                 2.1558,              0.0015218,              0.0015218,              0.0015218
                     46,                  1.445,                 1.1468,                 1.5022,                0.95808,                0.94444,                0.96879,                 0.4988,                 1.6585,                0.71681,                 1.8683,              0.0015185,              0.0015185,              0.0015185
                     47,                 1.3851,                 1.1237,                 1.4117,                0.90483,                0.97222,                0.96385,                0.50585,                  1.802,                0.84703,                 2.0693,              0.0015152,              0.0015152,              0.0015152
                     48,                 1.3672,                 1.1043,                 1.4388,                0.91674,                0.81142,                0.89681,                0.43705,                   2.06,                 1.4411,                 2.3104,              0.0015119,              0.0015119,              0.0015119
                     49,                  1.349,                 1.0512,                 1.4058,                0.94699,                0.91886,                0.96438,                 0.4827,                 1.8537,                0.93171,                 2.0159,              0.0015086,              0.0015086,              0.0015086
                     50,                 1.3787,                 1.0883,                 1.4047,                0.94825,                0.94444,                0.96411,                0.49318,                 1.6384,                0.98265,                 1.7046,              0.0015053,              0.0015053,              0.0015053
                     51,                 1.2662,                 1.0178,                 1.4025,                0.94065,                0.97008,                0.96713,                0.43539,                 1.6375,                 1.1379,                 1.8733,               0.001502,               0.001502,               0.001502
                     52,                 1.3336,                 1.0513,                 1.4167,                0.95595,                0.86111,                 0.9136,                0.46245,                 1.8765,                 1.2462,                 2.1084,              0.0014987,              0.0014987,              0.0014987
                     53,                 1.3327,                 1.0107,                 1.3623,                0.93362,                0.91524,                0.96298,                0.52754,                 1.4985,                  1.152,                 1.7189,              0.0014954,              0.0014954,              0.0014954
                     54,                 1.2208,                0.90816,                 1.3103,                0.92405,                0.97222,                0.96855,                0.46142,                 1.6519,                0.92893,                 1.8455,              0.0014921,              0.0014921,              0.0014921
                     55,                 1.2651,                0.98998,                 1.3788,                0.91506,                0.87878,                0.94751,                0.44139,                 1.6451,                  1.189,                 1.8532,              0.0014888,              0.0014888,              0.0014888
                     56,                 1.2662,                  1.007,                 1.3447,                0.93679,                0.97222,                0.96111,                0.48178,                 1.7392,                0.98647,                 1.9726,              0.0014855,              0.0014855,              0.0014855
                     57,                 1.3155,                 1.0412,                 1.3949,                0.97607,                0.88889,                0.92941,                0.48131,                 1.8103,                 1.0083,                 2.0247,              0.0014822,              0.0014822,              0.0014822
                     58,                 1.2687,                 1.0498,                 1.3562,                0.98287,                0.94444,                0.95925,                0.51068,                 1.5393,                0.77109,                 1.7974,              0.0014789,              0.0014789,              0.0014789
                     59,                 1.3183,                0.97449,                 1.4315,                 0.9536,                0.91667,                0.93562,                0.48315,                 1.5091,                0.90883,                  1.739,              0.0014756,              0.0014756,              0.0014756
                     60,                  1.219,                 0.9311,                 1.3451,                0.97332,                0.94444,                0.96586,                0.48114,                 1.6485,                0.85229,                 2.0505,              0.0014723,              0.0014723,              0.0014723
                     61,                  1.296,                0.94536,                 1.3749,                  0.971,                0.94444,                0.96849,                0.45528,                 1.6873,                0.74997,                 1.9441,               0.001469,               0.001469,               0.001469
                     62,                 1.2914,                0.96448,                 1.3686,                0.94751,                0.97222,                 0.9687,                0.49354,                 1.8863,                0.87947,                 2.0922,              0.0014657,              0.0014657,              0.0014657
                     63,                  1.185,                0.88972,                  1.303,                  0.974,                0.90721,                0.94907,                0.42025,                 1.7872,                 1.0448,                 2.0945,              0.0014624,              0.0014624,              0.0014624
                     64,                 1.2638,                 1.0031,                 1.3501,                0.96909,                0.97222,                0.97032,                0.42303,                 1.8923,                 1.0138,                   2.28,              0.0014591,              0.0014591,              0.0014591
                     65,                 1.2024,                0.92335,                 1.3406,                0.97863,                0.94444,                0.96848,                0.48321,                 1.6699,                  0.837,                 1.9004,              0.0014558,              0.0014558,              0.0014558
                     66,                 1.2404,                0.99132,                 1.3429,                0.95461,                0.91446,                0.94185,                0.50171,                 1.6726,                0.91825,                 1.8854,              0.0014525,              0.0014525,              0.0014525
                     67,                  1.197,                0.86031,                 1.2687,                0.92662,                0.77778,                0.87462,                0.44161,                 1.6302,                 2.0931,                 1.9119,              0.0014492,              0.0014492,              0.0014492
                     68,                 1.2965,                 1.0285,                 1.3417,                0.97661,                0.97222,                0.97161,                0.52705,                 1.5315,                0.77993,                 1.7235,              0.0014459,              0.0014459,              0.0014459
                     69,                 1.2382,                0.94028,                 1.3478,                0.92961,                0.94856,                0.97016,                0.54458,                 1.4886,                0.93587,                 1.7097,              0.0014426,              0.0014426,              0.0014426
                     70,                 1.1892,                0.93387,                 1.3282,                 0.9721,                0.90165,                0.97076,                0.43412,                 1.3937,                0.76099,                 1.6583,              0.0014393,              0.0014393,              0.0014393
                     71,                 1.2887,                0.94574,                 1.3602,                0.96799,                0.93825,                0.96854,                0.34622,                 1.7505,                0.87305,                 2.0225,               0.001436,               0.001436,               0.001436
                     72,                 1.2029,                0.87538,                 1.3128,                0.97639,                0.96769,                0.97017,                0.44931,                  1.743,                0.89847,                 1.8855,              0.0014327,              0.0014327,              0.0014327
                     73,                 1.2818,                0.88334,                 1.3732,                0.97009,                0.97222,                0.97019,                0.37656,                 1.7105,                0.81648,                 1.8221,              0.0014294,              0.0014294,              0.0014294
                     74,                 1.2507,                0.92702,                 1.3488,                 0.9305,                0.97222,                0.96768,                0.40976,                 1.7044,                0.82129,                 1.9365,              0.0014261,              0.0014261,              0.0014261
                     75,                 1.1746,                0.88822,                 1.3104,                0.97697,                0.94444,                0.94306,                0.43854,                 1.7655,                 1.1848,                  2.016,              0.0014228,              0.0014228,              0.0014228
                     76,                 1.1254,                0.84695,                 1.2863,                0.96633,                 0.9388,                0.94173,                0.46338,                 1.4917,                0.82001,                 1.7591,              0.0014195,              0.0014195,              0.0014195
                     77,                 1.1337,                0.84691,                 1.2547,                  0.978,                0.91667,                0.93574,                0.43938,                 1.5024,                0.82981,                  1.735,              0.0014161,              0.0014161,              0.0014161
                     78,                 1.1882,                  0.871,                 1.3235,                0.98186,                0.92095,                0.94274,                0.43826,                 1.7571,                 0.8631,                 2.1312,              0.0014128,              0.0014128,              0.0014128
                     79,                 1.1772,                0.85825,                 1.2766,                0.90854,                0.91189,                0.96869,                0.50428,                 1.6575,                 1.1877,                 1.9865,              0.0014095,              0.0014095,              0.0014095
                     80,                 1.1924,                0.95692,                 1.3151,                0.96304,                0.94351,                0.96579,                0.53509,                 1.5041,                0.77937,                 1.7228,              0.0014062,              0.0014062,              0.0014062
                     81,                  1.191,                0.90479,                 1.2927,                 0.9627,                0.93784,                 0.9658,                0.49757,                   1.55,                 0.7803,                 1.7544,              0.0014029,              0.0014029,              0.0014029
                     82,                 1.1262,                0.82226,                 1.2709,                0.98952,                0.94444,                0.96936,                0.52677,                 1.5687,                0.85332,                 1.7459,              0.0013996,              0.0013996,              0.0013996
                     83,                  1.107,                0.83914,                 1.2521,                0.98076,                0.94828,                0.97135,                0.54676,                 1.5342,                 0.6667,                  1.778,              0.0013963,              0.0013963,              0.0013963
                     84,                  1.109,                0.85922,                 1.2799,                0.91837,                0.94871,                0.96268,                0.55302,                 1.6795,                0.75163,                 1.9677,               0.001393,               0.001393,               0.001393
                     85,                 1.1451,                0.79476,                 1.2729,                0.96793,                0.96483,                0.97025,                0.51943,                 1.5562,                0.70151,                 1.7891,              0.0013897,              0.0013897,              0.0013897
                     86,                 1.1037,                0.76882,                 1.2667,                0.98245,                0.94806,                0.97038,                0.55172,                 1.7265,                0.77304,                 1.8947,              0.0013864,              0.0013864,              0.0013864
